countryname,iso_alpha3,countrynumericcode,regionalbureau,regionalmission,regionalmissioncode,usaidpresencetype,bilateralmission,nonpresencecountry,stip,cityofbilateralmission,latitude,longitude
Afghanistan,AFG,4,Afghanistan and Pakistan,,,1,1,0,0,Kabul,34.528454,69.1717
Albania,ALB,8,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Tirana,41.33165,19.8318
Antarctica,ATA,10,,,,3,,,,,,
Algeria,DZA,12,Middle East,Office of Middle East Programs,OMEP,2,0,1,0,,,
American Samoa,ASM,16,,,,3,,,,,,
Andorra,AND,20,,,,3,,,,,,
Angola,AGO,24,Africa,Southern Africa,SA,1,1,0,0,Luanda,-8.8383331,13.234444
Antigua and Barbuda,ATG,28,Latin America and the Carribean,Barbados and Easter Caribbean,EC,2,0,1,0,,,
Azerbaijan,AZE,31,Europe and Eurasia,,,1,1,0,0,Baku,40.434952,49.867622
Argentina,ARG,32,,,,3,,,,,,
Australia,AUS,36,,,,3,,,,,,
Austria,AUT,40,,,,3,,,,,,
Bahamas,BHS,44,,,,3,,,,,,
Bahrain,BHR,48,,,,3,,,,,,
Bangladesh,BGD,50,Asia,,,1,1,0,1,Dhaka,23.709921,90.407143
Armenia,ARM,51,Europe and Eurasia,,,1,1,0,1,Yerevan,40.183334,44.516666
Barbados,BRB,52,Latin America and the Carribean,Barbados and Easter Caribbean,EC,1,1,0,0,Bridgetown,13.098938,-59.613354
Belgium,BEL,56,,,,3,,,,,,
Bermuda,BMU,60,,,,3,,,,,,
Bhutan,BTN,64,,,,3,,,,,,
Bolivia,BOL,68,Latin America and the Carribean,South America Regional Program,SARP,1,1,0,0,La Paz,-16.49901,-68.146248
Bosnia and Herzegovina,BIH,70,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Sarajevo,43.856258,18.413076
Botswana,BWA,72,Africa,Southern Africa,SA,2,0,1,0,,,
Bouvet Island,NOR,74,,,,3,,,,,,
Brazil,BRA,76,Latin America and the Carribean,South America Regional Program,SARP,1,1,0,1,Brasilia,-15.780148,-47.929169
Belize,BLZ,84,,,,3,,,,,,
British Indian Ocean Territory,IOT,86,,,,3,,,,,,
Solomon Islands,SLB,90,Asia,Pacific Islands,PI,2,0,1,0,,,
British Virgin Islands,VGB,92,,,,3,,,,,,
Brunei,BRN,96,,,,3,,,,,,
Bulgaria,BGR,100,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Sofia,42.697838,23.321671
Burma,MMR,104,Asia,Regional Development Mission for Asia,RDMA,1,1,0,0,Rangoon,16.799999,96.150002
Burundi,BDI,108,Africa,East Africa,EA,1,1,0,0,Bujumbura,-3.3762169,29.359348
Belarus,BLR,112,Europe and Eurasia,"Ukraine, Belarus and Moldova",UBM,1,1,0,0,Minsk,53.900002,27.566668
Cambodia,KHM,116,Asia,,,1,1,0,0,Phnom Penh,11.558831,104.91744
Cameroon,CMR,120,Africa,West Africa,WA,2,0,1,0,,,
Canada,CAN,124,,,,3,,,,,,
Cape Verde,CPV,132,Africa,West Africa,WA,2,0,1,0,,,
Cayman Islands,CYM,136,,,,3,,,,,,
Central African Republic,CAF,140,Africa,East Africa,EA,2,0,1,0,,,
Sri Lanka,LKA,144,Asia,,,1,1,0,0,Colombo,6.9270792,79.861244
Chad,TCD,148,Africa,West Africa,WA,2,0,1,0,,,
Chile,CHL,152,,,,3,,,,,,
China,CHN,156,Asia,Regional Development Mission for Asia,RDMA,2,0,1,0,,,
Taiwan,TWN,158,,,,3,,,,,,
Christmas Island,CXR,162,,,,3,,,,,,
Cocos-Keeling-Islands,CCK,166,,,,3,,,,,,
Colombia,COL,170,Latin America and the Carribean,South America Regional Program,SARP,1,1,0,1,Bogota,4.5980558,-74.075836
Comoros,COM,174,,,,3,,,,,,
Mayotte,MYT,175,,,,3,,,,,,
